"BARRIO";"dist_av_18_de_julio";"dist_av_8_de_octubre";"dist_av_agraciada";"dist_av_bolivia";"dist_av_gral_eugenio_garzon";"dist_av_italia";"dist_bv_gral_artigas";"dist_bv_jose_batlle_y_ordoñez"
"Castro Castellanos";4536.2685794935;2262.90592716947;4212.51749563499;5856.18617480897;5985.73403491257;3623.52619921394;1670.58058439639;1106.07733309566
"Tres Ombúes Pueblo Victoria";6513.24509467663;7946.70216792781;1769.87560575488;13232.3815575717;1587.59650599467;7976.69180574273;3191.77716179484;3945.63478327613
"Cerrito";4862.06484874827;3449.77364637929;3502.72841794852;7062.31926667192;4782.2500931624;4370.20974953225;1784.11251122837;624.809012144261
"Prado Nueva Savona";4947.84531906508;5099.1931304733;503.94473534528;9940.32937424208;2071.39871004041;5140.21545754936;1151.04591516354;2203.75806176908
"Villa Española";4199.14860387671;982.204048739632;4894.0295812196;4463.14410549989;7361.00414246838;2604.60504481679;2201.51099757241;1495.85630297226
"Maroñas Parque Guarani";5288.85778061569;938.801888777394;6505.6338544305;2611.16298157324;9244.54591559882;2564.82032167248;4054.92547716844;2758.07587575679
"Brazo Oriental";4015.78825720387;3169.70916475875;2210.2738055568;7611.43286318345;4267.51981289799;3697.05813800053;803.139405801125;671.820296658815
"Las Canteras";6271.97366321413;2810.58328030227;7899.86178039351;643.631422516659;11180.4767177488;1638.27395087582;5785.37571280088;3394.76605887337
"La Teja";5043.66014740405;6520.92652204689;1562.05750806106;12097.9986367131;1754.68458502798;6548.18622342496;1768.49377726737;4198.67887205734
"Mercado Modelo";3188.75873222204;1562.25776773846;3419.96992606739;5731.30286872222;6195.28524579605;2409.09372791842;711.972107327555;103.534886639444
"Atahualpa";4185.48606142171;3720.30503677276;1373.74631968696;8487.86408877574;3506.83546261499;3936.59144421472;643.921126238542;1470.21509681408
"Capurro Bella Vista";3544.1702311141;4294.34637645353;456.783730467049;9954.12883803229;2987.38047955322;4324.72287958913;179.119223829498;3273.69990914638
"Unión";3190.82301759915;398.147536122033;4638.52297880208;3839.52867495769;8364.63332751639;909.236458712306;2565.26214654978;647.418048521821
"Carrasco Norte";9261.86775297945;6166.27954118094;11097.5022671432;1715.20174017928;14516.355372053;433.609899874159;9086.68236420628;5786.70374470976
"Jacinto Vera";2493.26284654489;1674.54336495401;2175.06054388817;6739.62072332824;5538.54352759583;2126.53154877186;331.409618163246;1105.04373807374
"Larrañaga";1981.15450611304;710.206634970608;2624.15455537916;5932.64434560756;6512.78296009572;1373.01303825992;466.342854521299;868.317481108883
"Figurita";2509.64766085627;2048.59830849536;1607.20215594896;7342.76728489423;5122.77695835427;2226.87663764237;744.685911496259;1653.76053441504
"Malvín Norte";4666.64239325225;1668.33468549382;6360.82251503579;2111.88666232483;10052.0696268398;960.409337541857;4334.96174499686;1843.91424655836
"Carrasco";10020.6437905068;7345.37858910055;11985.8463008701;1315.16953931787;15746.1551675788;697.355749428862;9979.92987319758;6319.38732327959
"Reducto";2878.05388952253;2754.4747818259;771.184987181647;8307.10015496941;4368.11872709239;2793.18178716917;721.562199904041;2308.16232644476
"Cerro";5677.88938298516;8197.64652313414;4311.73987141264;14414.1359168518;4286.31074617958;8242.39772448449;4047.14897815783;6863.74361392532
"Punta Gorda";7638.41071073851;5350.24731624497;9659.56860416783;345.273340287695;13733.7841731348;815.934939478804;7613.69639377078;3898.67478658181
"Villa Muñoz";1471.76124900561;1362.6229593209;868.008136089112;7595.94798054014;5782.27620642626;1393.77458740912;1114.72141187042;2578.60120421792
"La Comercial";1214.36491463829;857.919719106725;1613.28455743462;6850.76498572226;6307.78272806849;926.218831023368;363.587756641654;2011.19795324431
"Buceo";3268.44499021477;2534.70126740471;5367.50741775387;3921.03962291064;9999.46566601686;1026.89192028077;3261.55381255677;185.137411417858
"Malvín";5416.86372123931;3436.32940135743;7427.34954176495;2154.6444775573;11650.7459723837;504.685321403563;5384.14951963731;1799.39470507708
"Aguada";1562.28875120785;2161.79286827764;161.586703986848;8607.27443734199;5378.97217013856;2174.97307449568;2098.01655746906;3485.97360488828
"La Blanqueada";1521.099273912;400.407995962163;3120.65151463386;5387.14496063234;7586.56373120132;342.174696197907;1137.39443842413;987.511713009171
"Tres Cruces";335.688372842947;76.7126518264068;2002.90200685042;6743.8533135561;7092.98057169913;73.5763588388691;70.1141193539738;2347.16671612468
"Parque Batlle Villa Dolores";1355.24479705994;1129.42081529526;3452.21936785802;5472.4157578162;8325.69030832052;592.97037899522;1340.70532802356;1439.78225696184
"Cordón";3.27434692649111;973.235112509648;1661.339406492;7908.64580811252;7036.41918514501;1248.86670897029;1054.93630834805;3575.80932323416
"Centro";201.301910598205;2455.17003988312;1607.13754466894;9371.34407537711;6399.13253404741;2673.45698648253;2559.53904689065;4764.91918660979
"Ciudad Vieja";654.651760010775;3627.41707769085;2269.06442229401;10497.1902229615;5935.65443657;3816.31415697736;3306.56039803675;5579.46177710067
"Pocitos";1774.42402413919;1841.88563190738;3915.97517068426;6341.56997198043;9178.77262109854;1954.85653482931;1150.21162589128;2572.73675819181
"Palermo";857.041121597926;1849.77552982803;2478.26089594861;8604.39076779741;7733.5347140448;2187.18274727031;1390.06207600232;4515.13019650757
"Parque Rodó";1388.78711804272;1601.42168246631;3076.84613832399;7791.8800026319;8448.49185792583;1940.19588301238;364.452625776034;3877.21244289015
"Barrio Sur";633.694155535973;2590.49065813763;2369.27027099611;9493.04598921611;7236.99213309378;2883.69906481227;2393.44701073587;5199.81339273452
"Punta Carretas";2591.73978529817;2704.58102870481;4271.50497786354;8015.66020011566;9634.25349850314;3013.49582675541;91.165221617844;4274.97229999403
"Conciliación";9820.1847235857;9997.05031755384;3709.00764258649;13878.4583234536;1550.91659458511;10252.1839914714;6088.90139233024;556.921560184748
"Nuevo París";8450.78906577354;9414.01127193157;2608.56543532251;13959.3751184243;2098.92388796618;9451.24591629608;4854.11950192389;2478.39624068103
"Lezica Melilla";17994.075861388;17926.732722271;11977.7122640317;21613.5267238903;7315.18799690557;18636.0307925392;14340.5874564161;7439.26703383673
"Paso de la Arena";16039.9382381305;18022.7763898675;11553.3882154097;23114.9580195514;11162.7999543223;18049.6948320797;13266.3009316533;9338.72363672308
