"precio";"moneda";"direccion";"barrio";"metros_totales";"area_privada";"dormitorios";"baños";"garage";"gastos_comunes";"admite_mascotas";"disposicion";"balcon";"terraza";"ascensor";"amueblado";"aire_acondicionado";"calefaccion";"numero_piso";"latitud_Y";"longitud_X";"url";"dist_av_18_de_julio";"dist_av_8_de_octubre";"dist_av_agraciada";"dist_av_bolivia";"dist_av_gral_eugenio_garzon";"dist_av_italia";"dist_bv_gral_artigas";"dist_bv_jose_batlle_y_ordoñez"
56000;"UYU($)";"4r2m+9jh, Francisco Canaro 2230, Montevideo, Cordón, Montevideo";"Tres Cruces";157;132;3;2;"Si";14000;"No";"Si";"Si";"No";"Si";"No";"Sí";"No";5;-34.8990858;-56.1662039;"https://apartamento.mercadolibre.com.uy/MLU-695035047-alquiler-apartamento-3-dormitorios-garaje-patio-cordon-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";93.8016284405689;108.826857144136;2152.33679923601;6971.30501723781;7408.58611413436;452.064787236872;145.504501014132;2744.5025035826
37500;"UYU($)";"Aguada, Aguada, Montevideo";"Aguada";90;90;4;2;"No";8500;"Sí";"Si";"Si";"Sí";"Si";"No";"No";"Sí";1;-34.892688;-56.1883598;"https://apartamento.mercadolibre.com.uy/MLU-1434565930-apartamento-en-alquiler-4-dormitorios-2-banos-terraza-lav-aguada-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";1405.21648273408;2101.55499035239;292.980249177072;8635.67065109532;5519.13540862079;2137.75730979607;2098.40967993095;3598.89094925371
37900;"UYU($)";"Av Agraciada Al 2900, Prado, Montevideo";"Capurro Bella Vista";61;50;1;1;"Si";5000;"Sí";"Si";"Si";"Sí";"Sí";"No";"Sí";"Sí";1;-34.8768113;-56.197974;"https://apartamento.mercadolibre.com.uy/MLU-695021473-alquiler-de-apartamento-1-dormitorio-al-frente-con-balcon-parrillero-garage-en-prado-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";3266.77559312918;3566.13768782389;24.4000450497917;9230.38857525452;3607.13687511934;3598.86663530555;533.769120954444;2905.10233484042
44000;"UYU($)";"Rlba Rep De Chile, Mavin, Malvin, Montevideo";"Malvín";90;90;2;1;"Si";9200;"Sí";"Si";"Si";"No";"Sí";"No";"Sí";"No";1;-34.897157;-56.1142011;"https://apartamento.mercadolibre.com.uy/MLU-694256821-alquiler-de-apartamento-en-malvin-2-dormitorios-vista-al-mar-y-garage-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";4605.70374785528;3391.03977792345;6711.41686683517;3141.20955935254;11238.3624067098;1078.12194406236;4587.36619354689;817.058102469065
29500;"UYU($)";"Constituyente Y Magallanes, Cordón, Montevideo";"Cordón";47;42;1;1;"Si";4000;"No";"Si";"Si";"No";"Sí";"No";"No";"No";12;-34.9064104;-56.1786038;"https://apartamento.mercadolibre.com.uy/MLU-695906233-alquiler-de-apartamento-de-1-dormitorio-y-garaje-en-cordon-sur-doo-constituyente-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=14&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";351.289820230272;1451.48328965551;1957.02670448829;8345.6442136365;7272.36581091619;1761.50976318112;1346.80717373633;4105.56025679937
27500;"UYU($)";"Convención Esquina Maldonado, Centro, Montevideo";"Barrio Sur";45;40;1;1;"No";4000;"Sí";"No";"No";"No";"Si";"No";"Sí";"Sí";4;-34.9100591;-56.1965784;"https://apartamento.mercadolibre.com.uy/MLU-1434601802-alquiler-apartamento-un-dormitorio-cordon-f-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=16&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";417.495060797304;3065.63974478693;2360.62864220398;10000.9176240267;6822.97943169655;3323.78766584463;3018.64612430534;5520.76516573347
1850;"USD(US$)";"Juan Pedro Beranger 2343, Montevideo, Carrasco, Montevideo";"Carrasco Norte";102;92;3;2;"Si";18000;"Sí";"Si";"No";"Sí";"Sí";"No";"Sí";"Sí";5;-34.8745696;-56.0749248;"https://apartamento.mercadolibre.com.uy/MLU-695622087-alquiler-apartamento-3-dormitorios-carrasco-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";8580.00869583864;5492.23054597481;10403.8383355894;1091.88727912207;13854.9415624686;537.714659083391;8391.27052775418;5156.52585774118
34900;"UYU($)";"Doctor Pablo De María 1362, Cordón, Montevideo";"Cordón";63;63;2;1;"No";6900;"Sí";"Si";"Si";"No";"Sí";"No";"Sí";"No";11;-34.9030756;-56.1712542;"https://apartamento.mercadolibre.com.uy/MLU-1412365898-alquiler-apartamento-de-2-dormitorios-en-cordon-sur-con-balcon-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";301.637873504956;711.661858499825;2035.15325505587;7579.56733521601;7404.38626359134;1048.8937866818;644.725592367558;3381.3461151724
28000;"UYU($)";"Cufré Esq Miguelete, Tres Cruces, Montevideo";"La Comercial";52;49;2;1;"No";4000;"No";"Si";"Si";"No";"Sí";"No";"No";"No";3;-34.8919915;-56.1690439;"https://apartamento.mercadolibre.com.uy/MLU-1431454516-alquiler-de-apartamento-2-dormitorios-en-madero-tres-cruces-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";719.214985487695;432.005682232382;1667.49780623649;6921.89859747265;6690.95005142673;467.476546308253;333.591078658771;2339.3220637665
27900;"UYU($)";"Rivera Y Simón Bolivar, Pocitos, Montevideo";"Pocitos";40;40;1;1;"No";3000;"No";"Si";"No";"No";"Sí";"No";"No";"No";3;-34.903135;-56.1598061;"https://apartamento.mercadolibre.com.uy/MLU-695165511-alquiler-de-apartamento-de-1-dormitorio-en-pocitos-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";753.299215272451;804.966492886448;2880.41614925323;6664.46110045484;8142.2654425306;1008.85564410223;377.43326810485;2664.57543206951
