precio,moneda,direccion,barrio,tipo,metros_totales,area_privada,dormitorios,baños,garage,gastos_comunes,admite_mascotas,disposicion,balcon,terraza,ascensor,amueblado,aire_acondicionado,calefaccion,numero_piso,latitud_Y,longitud_X,url
$ 24.500,Pesos Uruguayos (UYU),"26 De Marzo Y Marco Bruto, Pocitos, Montevideo",Pocitos,Apartamento,30 m²,30 m²,0,1,0,3.500 UYU,Sí,Contrafrente,Sí,Sí,Sí,No,No,No,6,-34.9061129,-56.1383021,https://apartamento.mercadolibre.com.uy/MLU-1395542898-alquiler-monoambiente-pocitos-montevideo-f-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 26.500,Pesos Uruguayos (UYU),"Acevedo Díaz 1722, Montevideo, Tres Cruces, Montevideo",Montevideo,Apartamento,44 m²,42 m²,1,1,0,4.000 UYU,No,Contrafrente,Sí,Sí,Sí,No,No,No,10,-34.8954576,-56.1671968,https://apartamento.mercadolibre.com.uy/MLU-1441049894-alquiler-apartamento-1-dormitorio-en-tres-cruces-smart-point-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 90.000,Pesos Uruguayos (UYU),"Pocitos, Rambla República Del Perú, Pocitos, Montevideo",Rambla República Del Perú,Apartamento,117 m²,117 m²,3,2,1,21.430 UYU,No,Frente,Sí,No,Sí,No,No,Sí,2,-34.9182338,-56.1489264,https://apartamento.mercadolibre.com.uy/MLU-1406126982-alquiler-apartamento-vista-al-mar-pocitos-3-dormitorios-2-banos-124m2-totales-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 45.000,Pesos Uruguayos (UYU),"Pocitos, Pocitos, Montevideo",Pocitos,Apartamento,70 m²,70 m²,3,2,0,6.600 UYU,No,Frente,Sí,Sí,No especificado,No,No,Sí,2,-34.9084072,-56.1450697,https://apartamento.mercadolibre.com.uy/MLU-1446382294-apartamento-en-alquiler-3-dormitorios-2-banos-terraza-pocitos-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 54.800,Pesos Uruguayos (UYU),"Malvi­n, Malvin, Montevideo",Malvin,Apartamento,80 m²,80 m²,2,1,1,3.200 UYU,Sí,Frente,Sí,Sí,No especificado,No,No,Sí,2,-34.8910729,-56.1058566,https://apartamento.mercadolibre.com.uy/MLU-685757803-apartamento-en-alquiler-2-dormitorios-1-bano-terraza-garaje-2piso-x-excmalvin-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=21&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 53.000,Pesos Uruguayos (UYU),"Centro Montevideo, Centro, Montevideo",Centro,Apartamento,280 m²,280 m²,4,5,0,45.630 UYU,Sí,Frente,Sí,Sí,No especificado,No,No,Sí,No especificado,-34.9051556,-56.1948101,https://apartamento.mercadolibre.com.uy/MLU-694914753-apartamento-en-alquiler-6-dormitorios-5-banos-terraza-centro-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=22&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 31.000,Pesos Uruguayos (UYU),"Canelones 1700, Cordón, Montevideo",Cordón,Apartamento,42 m²,38 m²,1,1,0,4.500 UYU,Sí,Frente,Sí,Sí,Sí,No,Sí,No,12,-34.9090068,-56.1770408,https://apartamento.mercadolibre.com.uy/MLU-1429923714-alquiler-apartamento-1-dorm-cordon-soho-piso-alto-amenities-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=23&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 26.000,Pesos Uruguayos (UYU),"Luis Alberto De Herrera 2561, La Blanqueada, Montevideo",La Blanqueada,Apartamento,35 m²,35 m²,1,1,0,4.000 UYU,No especificado,Frente,Sí,Sí,No especificado,No especificado,No,No especificado,6,-34.8818424,-56.1531366,https://apartamento.mercadolibre.com.uy/MLU-1442099444-alquiler-apartamento-1-dormitorio-la-blanqueada-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=24&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 33.900,Pesos Uruguayos (UYU),"Republica Del Peru, Rbl 1400, Pocitos Nuevo, Montevideo",Rbl 1400,Apartamento,45 m²,43 m²,1,1,0,9.900 UYU,Sí,Contrafrente,No,No,Sí,No,Sí,No,10,-34.909687,-56.1417228,https://apartamento.mercadolibre.com.uy/MLU-692266585-alquiler-1-dormitorio-amoblado-pocitos-nuevo-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=25&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 65.000,Pesos Uruguayos (UYU),"Pocitos, Pocitos, Montevideo",Pocitos,Apartamento,90 m²,90 m²,2,1,2,7.500 UYU,Sí,Frente,Sí,Sí,No especificado,Sí,No,Sí,No especificado,-34.9066118,-56.1461849,https://apartamento.mercadolibre.com.uy/MLU-1359221730-apartamento-en-alquiler-2-dormitorios-1-bano-terraza-garaje-doble-equipado-pocitos-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=26&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
US$ 2.300,Dólares (USD),"Carrasco, Carrasco, Montevideo",Carrasco,Apartamento,151 m²,72 m²,2,2,1,13.000 UYU,Sí,Frente,18 m²,Sí,Sí,No,No especificado,Sí,2,-34.8850061,-56.0556603,https://apartamento.mercadolibre.com.uy/MLU-694308187-alquiler-apartamento-2-dormitorios-jardin-parrillero-jardines-de-carrasco-con-garaje-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=27&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 20.000,Pesos Uruguayos (UYU),"Juan Jacobo Rousseau, Montevideo, Unión, Montevideo",Montevideo,Apartamento,60 m²,60 m²,2,1,0,0 UYU,Sí,Interno,No especificado,No especificado,No,No,No especificado,No especificado,No especificado,-34.866645,-56.1353853,https://apartamento.mercadolibre.com.uy/MLU-694258567-alquiler-de-apartamento-2-dormitorios-con-azotea-traspaso-acepta-anda-aseguradora-o-contaduria-barrio-la-union-cerca-calle-comercio-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=28&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 29.000,Pesos Uruguayos (UYU),"Pedro Campbell 1500, Parque Batlle, Montevideo",Parque Batlle,Apartamento,58 m²,54 m²,2,1,0,4.000 UYU,Sí,No especificado,Sí,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,-34.8992672,-56.1610954,https://apartamento.mercadolibre.com.uy/MLU-1431467516-alquiler-apartamento-2-dormitorios-parque-batlle-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=29&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 28.000,Pesos Uruguayos (UYU),"La Blanqueada, La Blanqueada, Montevideo",La Blanqueada,Apartamento,38 m²,38 m²,1,1,0,1.000 UYU,No,Contrafrente,Sí,Sí,No especificado,No,No,Sí,No especificado,-34.8869458,-56.1522773,https://apartamento.mercadolibre.com.uy/MLU-1343314006-apartamento-en-alquiler-1dormitorio-1bano-patio-la-blanqueada-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=30&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=true&sid=search
$ 40.000,Pesos Uruguayos (UYU),"Parque Rodo, Parque Rodó, Montevideo",Parque Rodó,Apartamento,100 m²,100 m²,2,1,0,3.500 UYU,Sí,Frente,Sí,Sí,No especificado,No,No,No especificado,2,-34.9117539,-56.1715058,https://apartamento.mercadolibre.com.uy/MLU-694405479-apartamento-en-alquiler-2-dormitorios-1-bano-parque-rodo-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=31&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=true&sid=search
$ 28.000,Pesos Uruguayos (UYU),"Canelones 1566, Montevideo, Palermo, Montevideo",Montevideo,Apartamento,53 m²,53 m²,1,1,1,4.000 UYU,No,Frente,Sí,No,Sí,No,No,No,10,-34.9082457,-56.1816479,https://apartamento.mercadolibre.com.uy/MLU-1342076118-apartamento-a-estrenar-1-dormitorio-palermo-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=32&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
No especificado,No especificado,"Canelones 896, Montevideo, Centro, Montevideo",Montevideo,Apartamento,50 m²,45 m²,1,1,0,7.900 UYU,Sí,Frente,No,Sí,Sí,No,Sí,No,10,-34.9092221,-56.1968088,https://apartamento.mercadolibre.com.uy/MLU-696121589-alquiler-apartamento-1-dormitorio-centro-alma-corso-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=33&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
